id,sonde_event_id,Date,Time,Temp,SpCond,DO
,5,2003-10-13,03:18:00,14.5,259,8.73
,5,2003-10-13,03:22:00,14.48,259,8.7
,5,2003-10-13,03:26:00,14.47,259,8.72
,5,2003-10-13,03:30:00,14.46,259,8.78
,5,2003-10-13,03:34:00,14.45,259,8.71
,5,2003-10-13,03:38:00,14.44,259,8.78
,5,2003-10-13,03:42:00,14.42,259,8.75
,5,2003-10-13,03:46:00,14.41,259,8.72
,5,2003-10-13,03:50:00,14.41,259,8.77
,5,2003-10-13,03:54:00,14.4,259,8.79
,5,2003-10-13,03:58:00,14.4,259,8.69
,5,2003-10-13,04:02:00,14.39,259,8.77
,5,2003-10-13,04:06:00,14.39,259,8.74
,5,2003-10-13,04:10:00,14.39,259,8.82
,5,2003-10-13,04:14:00,14.38,259,8.75
,5,2003-10-13,04:18:00,14.39,259,8.77
,5,2003-10-13,04:22:00,14.38,259,8.79
,5,2003-10-13,04:26:00,14.38,259,8.8
,5,2003-10-13,04:30:00,14.38,259,8.78
,5,2003-10-13,04:34:00,14.38,259,8.75
,5,2003-10-13,04:38:00,14.38,259,8.77
,5,2003-10-13,04:42:00,14.37,259,8.81
,5,2003-10-13,04:46:00,14.37,259,8.76
,5,2003-10-13,04:50:00,14.37,259,8.75
,5,2003-10-13,04:54:00,14.37,259,8.76
,5,2003-10-13,04:58:00,14.37,259,8.82
,5,2003-10-13,05:02:00,14.36,259,8.81
,5,2003-10-13,05:06:00,14.36,259,8.77
,5,2003-10-13,05:10:00,14.35,259,8.78
,5,2003-10-13,05:14:00,14.34,259,8.83
,5,2003-10-13,05:18:00,14.33,259,8.85
,5,2003-10-13,05:22:00,14.33,259,8.83
,5,2003-10-13,05:26:00,14.32,259,8.83
,5,2003-10-13,05:30:00,14.32,259,8.85
,5,2003-10-13,05:34:00,14.32,259,8.83
,5,2003-10-13,05:38:00,14.31,259,8.84
,5,2003-10-13,05:42:00,14.31,259,8.82
,5,2003-10-13,05:46:00,14.31,259,8.85
,5,2003-10-13,05:50:00,14.31,259,8.83
,5,2003-10-13,05:54:00,14.3,259,8.87
,5,2003-10-13,05:58:00,14.29,259,8.82
,5,2003-10-13,06:02:00,14.28,259,8.82
,5,2003-10-13,06:06:00,14.28,259,8.84
,5,2003-10-13,06:10:00,14.27,259,8.82
,5,2003-10-13,06:14:00,14.26,258,8.78
,5,2003-10-13,06:18:00,14.25,258,8.8
,5,2003-10-13,06:22:00,14.24,258,8.83
,5,2003-10-13,06:26:00,14.24,258,8.83
,5,2003-10-13,06:30:00,14.23,258,8.8
,5,2003-10-13,06:34:00,14.22,258,8.85
,5,2003-10-13,06:38:00,14.22,258,8.82
,5,2003-10-13,06:42:00,14.22,258,8.81
,5,2003-10-13,06:46:00,14.21,258,8.82
,5,2003-10-13,06:50:00,14.21,258,8.82
,5,2003-10-13,06:54:00,14.21,258,8.81
,5,2003-10-13,06:58:00,14.21,258,8.79
,5,2003-10-13,07:02:00,14.21,258,8.82
,5,2003-10-13,07:06:00,14.21,258,8.76
,5,2003-10-13,07:10:00,14.21,258,8.79
,5,2003-10-13,07:14:00,14.22,258,8.81
,5,2003-10-13,07:18:00,14.21,258,8.79
,5,2003-10-13,07:22:00,14.21,258,8.77
,5,2003-10-13,07:26:00,14.21,258,8.81
,5,2003-10-13,07:30:00,14.21,258,8.87
,5,2003-10-13,07:34:00,14.21,258,8.83
,5,2003-10-13,07:38:00,14.21,258,8.81
,5,2003-10-13,07:42:00,14.21,258,8.82
,5,2003-10-13,07:46:00,14.21,258,8.8
,5,2003-10-13,07:50:00,14.21,258,8.83
